Topic,Level,Description,Module
Print KDS,Bill Settings,"Available Options:
- Re-print Bill - enables access to reprinting (can be blocked for anti theft purposes)
- Category- Wise Split Bill - Split up the bill, category wise (similar to category wise KOT split)
- Header on Bill - Address/Gst details as per client can be put and customized.
32 characters fit on one line on the 3 inch thermal printer (with default font size)
- Footer on Bill - feedback/ thank you, other details can be displayed in bottommost section of the bill
- Bill Print Copies - can be increased or decreased
- Bill SMS Outlet Name - on the Billing SMS(transactional sms, purchased separate module), can customize the name of the outlet in this field
- Bill Print Template Number - choice of template formats can be chosen for bills - **Refer KOT Print Template Document - websitedheko.com/OPS**
- Separate Food Liquor - enables a different bill print for Liquor from food
- Header/ Footer on Food Liquor Bill - this can be customized separately from the regular bill if selecting the above option
- Suffix on Food/ Liquor Bill - Characters - Alphanumeric can be used as a code for the ending of the bill for identification
- Bill Print Prefix - Characters - Alphanumeric can be used as a code for the start of the bill for identification
- GSTIN Number - can be entered in this field to be added into the Bill Header
- Send Link of the Bill - send an sms with Bill Link (PDF copy of bill)
- Left Space in Bill -  in case a bill gets cut from the left side , you can shift 2/3 or more characters to the right by keeping a left size space
- Delivery Bill Copies - for delivery tab enables set number of copies (by default 1)
- Hide Food Liquor Total in Separate Bill - based on the ""Separate Food Liquor"" setting, will show only totals of food/ Liquor, not both
- POS Code - some restaurants have POS system codes, which can be entered to show on the bill
- Print After Settle Copies - Post settling a bill, set number of print copies of the bill required
- Print Table/ Bill Number/ Steward Size - can set the font sizes for these respective sections on the bill
- Print Show Pay Value - at the end of the bill introduces a ""To Pay"" amount in clear larger font size(For client to easily see)
- Print Total Qty Size - increase/ decrease Total Qty Font size
- Enable Bill Items Wrapping - wrap text of the bill items, same as KOT, to be more presentable
- Print Transaction Info on Bill - can enable: credit card/ debit card/ coupon/ online/ other settlement info to be shown on the bill
- Disable Printing of NC Bills - allows disabling No Charge / 0 bills, either with or without confirmation. (as it is a 0 charge bill, printing might not be required)
- Enable Print Change Due on Bill - shows ""change/ balance payable to client"" info on the bill
- Header on QR on Bill - field to customize header of QR bills
- Enable Open Cash Drawer - Cash Drawers can be linked to the system(printer); enabling this setting will open the cash drawer either at Print Bill/ Settlement action.
- Only Cash Settlement Open Cash Drawer - Cash Drawers can be linked to the system(printer); enabling this setting will open the cash drawer only for ""CASH"" Settlement action
- Enable Comment on Bill - creates a ""Bill Comment Button"" on the KOT punching screen, a bill comment can be added which will be printed on KOT & Bill Print.
- Hide on Printed Bill - enables option to hide fields: Table Number/ Tab Name/ Bill Number/ Waiter Name/ Delivery Boy Name/ Cashier Name/ Covers/ Payment Info
- Enable Open Cash Drawer Button - option to open Cash Drawer manually. - this button is available from Top right corner dropdown(user name)
- Print Customer Loyalty Points on the Bill - enabling this setting showcases Customer Loyalty Points on the bill
- Print Call Center User Name: Bill/ KOT - if an order is placed from the Call Center Application 
- Stop Zero Value Print on Bill - any items created of 0 value can be skipped on the bill with this setting
- Alias For Pay(Max 15 Length) - apply an alias name for ""To Pay Value"" on the Bill; example: ""Total""
- Enable Short Name on Print Bill - allows shortnames for KOT's; this is assigned to items at the Brand level ""Item Shortname Tab""
- Page Line Length A4/A5 - can set limit of number of lines for A4/A5, before continuing to the next page of the printing(not for thermal printers)
- Hide Bill Comments - can hide comments on the final bill
- Alias for Customer GSTIN - in countries other than India, they might have taxes other than GST, can rename and keep a different Alias here for the bill
- Disable Table Transfer Print on Bill Printer - The action of transferring a table normally prints out a transfer ticket on the bill printer; this feature disables the print
- Print Order Number in Bold & For Table - bold/ highlights the Order Number non the Bill
- Print Order Number Size - Size of Order number displayed can be increased/ decreased (linked to the above setting)
- Enable KOT comment on bill - show or hide the KOT comments to reflect on bill (normally only reflects on KOT)
- GEC Store ID - (Client specific for 'Taco Bell') - a  unique store ID is shared with POSist, and we enter this in the field provided The store ID is linked with the Bill and codes are generated with Taco Bell's back end software
- Print Total Amount Size - ""Total Amount"" size can be entered else it is specific to the Bill Template; default used if blank
- Print Label Template - template number can be chosen for labels; default used if blank
- Advanced Booking Template - template numbers can be chosen for advance booking bills; default used if blank",Admin
Print KDS,KDS Settings,"Available Options:
- Bump Bill from Kitchen Screen - 
KDS has two main screens(or more) - the Chefs Screen + the Steward Screen;
This feature is enabled, if you do not want to MANUALLY push the orders from the Chef Screen to the next, Steward Screen, it happens automatically.
- Enable Audio on New Order in KDS - enables audio sound; rings for incoming new orders
- Trigger MFR via KDS - post bumping an order, you can mark an item as Mark Food Ready as a notification for delivery riders",Admin
Print KDS,KDS Colour Codes,"- Set Colour codes for each order box on the KDS screen to signify how much time has lapsed/passed since the order was placed.
Example - 5 minutes since order placed - ORANGE 
10 minutes since order placed - YELLOW
15 minutes since order placed - RED (to define priority)",Admin
Print KDS,KDS Images,"Customization of KDS Screen; Images can be set to customize-
Background Image
Logo
Customer Display Screen
Customer Display Side Screen (refers to the Side/ Promotion Screen: can show item images for promotion/ offers)",Admin
Print KDS,KDS Stages,"- Used to create multiple stages for the KDS screen.

The order lands on all the screens, however it stays highlighted only on the active stage.
You can customize the mapping to move from one stage of preparation to the other

Stages can be added/ deleted",Admin
User Settings,,"- Users can be created under this section to provide access to the different operations personnel.
- Permissions can be granted as per the role of the staff

Mandatory fields: 
First and Last name(can use dot ""."")
Username 
Passcode (6 digit numerical code)
Password - *has to follow rules in the right cell*

Other fields:
Privilege Level - can be set from 1 - 5; privilege level is used for Offer, so higher privilege user can see higher offers etc


Basis the Role Selected: Manager/ Cashier/ Waiter/ Delivery/ Stock - different permissions will auto fill.
The permissions can be further customized to enable or disable functions of the user.

Permissions access for:
Banquet/ Billing/ Billing Operations/ Bill Operations(Advance Order)/ CRM/ Cards/ Cockpit/ Configuration/ Disable Settings(zomato)/ Expenses/ Feedback/ Find Bill/ Franchise/ Menu/ Offers/ etc",Admin
Cache clear,Billing,"- Note: in case of clearing the browser cache - ""Day Sales amount get reset to 0 for that day"" - reports show the true value.",Admin
"Covers
(Baseline)",Billing,"Used by waiter to enter in number of Persons/ PAX for the table. Used for reporting purposes.
Can be enabled / disabled from deployment configurations.",Admin
"Item Punching: 
3 Methods
(Baseline)",Billing,"Items can be punched for taking a client's order by using the following 3 methods:

Top Selling 30 items - select from the top selling white item tiles directly
Selection via Categories/ Supercategories - choose relevant Super Category> Category to filter out the Items
Manual Entry Item & Quantity - manually enter in the item name and quantity and click add from the top right bar
Manual entry can be via entering item name/letters of item name to search/ item code",Admin
"Three Dots - Item Modifier Options
(passcode application)
(Baseline)",Billing,"While Punching Items onto the POS, additional operations might be required to Modify the item
These can be accessed by clicking the ""Three Dots Option"" at the side of an item.

Adding Comments (no passcode) - specific comments for the KOT can be added for the chef, eg - no sugar, extra spicy
Addons (no passcode) - addons mapped to an item can be punched in
Item Discounts (passcode required) - discounts can be added, which are predefined at brand level. Comment for Discount is mandatory",Admin
"CRM Feature
(Baseline)",Billing,"Customer Relationship Management:
Used to record client details: Contact Info, Name, Address etc.

Enter Number and hit Enter > Mandatory Fields Name and Number, rest is optional.

Once a clients details have been added, on his/her next visit, either number or name can be entered and the clients details will auto populate to be chose via dropdown.",Admin
"Bill Offers
(Baseline)",Billing,"<Passcode Required>
Offers/ Discounts can be applied to the entire Bill in two forms:

- Predefined Offers (created under Offers Module)
- Apply Express Offer (Manually choosing % or Amount of discount)

The Offers interface also can be used to delete an Offer previously applied - ""Red Delete button"" at the bottom left of the interface.

Ewards/ Discount Coupon Codes can also be applied as per Coupon Codes created from Offers Module.",Admin
"Tax Breakup and Charges
(Baseline)",Billing,"Below Offers Button, you can click on the red substract button Tax Amount.
This gives access to review the tax breakup being applied on the bill.

If Setting ""Remove Tax Manually"" is applied, using passcode, can give access to removing certain taxes as per operations requirement
Example: Service tax/ GST on SC

GST cannot be removed.",Admin
"Print KOT
(Baseline)",Billing,"Hitting Print KOT - sends the order punched to the KITCHEN Printers for preparation.
You can go back to punch other orders by clicking ""Dine In"" or any other tabs.

KOT Settings(Cogs/Gears button) is available to 
Void KOT - delete the KOT in cart
Reprint KOT - send a new print copy to the kitchen
Copy KOT - Copy the KOT and can paste it on another table (if a client wants to shift table)
Send a Kitchen Message - Send a message to the Kitchen regarding existing KOT (Brand: Predefined Comments tagged to Kitchen message)",Admin
"Print Bill
(Baseline)",Billing,"Once the whole order is completed, the bill Print Button can be used to print a bill from the Billing Counter.
You can go back to punch other orders by clicking ""Dine In"" or any other tabs.

Table View Shows details of: Table Number, Customer Name, Total Bill Value, Bill Value per Cover, Time Elapsed since punching the KOT
Right Clicking on the table gives options to: Edit Covers/ Copy/ Void/ Split Bill (Discussed in next Table Settings)


Printing a bill can be merged with Settlement as per operational requirements (Deployment Configurations)
""Settle on Print""",Admin
"Table Settings (Dine In)
(If Applicable)",Billing,"Right Clicking on the table gives options to: 
Edit Covers - change number of covers associated with the bill (incase more customers join the table)
Copy - can copy and paste to move the bill to a new table
Void - cancel the entire bill
Reprint Bill - Bill copy can be reprinted(once already printed)

Split Bill (Discussed in next Table Settings) - Split bill in multiple parts as per:
Normal Split/ Splitting Automatically by Category/ Split by Food & Liquor/ Equal Split/ Blank Split(split a new blank table to punch more items)/ Amount Split",Admin
"Settlement Functions / Payment Modes
(Baseline)",Billing,"A bill can finally be settled at the time of receiving payment. Settlement Modes include:

Cash - Denominations can be chosen manually to calculate change. Or Add Cash Payment can be simply clicked if exact amount is received.
Credit Card - Choice of card can be chosen(master/visa etc); Transaction number(last 4 digits of card- NOT required); 
Debit Card - Choice of card can be chosen(master/visa etc); Transaction number(last 4 digits of card- NOT required); 
Coupons - Sodexo/ tickets/ Meal Vouchers etc
Online - COD/ online modes example zomato/ swiggy/ fassos/ swiggy etc...
Others - collection through other modes - paypal/ Gpay etc
BTC - Bill on hold/ bill to company on credit for future payments",Admin
"Find Bill Functions
(Baseline)",Billing,"Search for previously settled bills through multiple filters: date, tab, amount, name etc

Find Bill gives access(based on user permissions) to Reprint a bill, void a bill, review Summary of the bill.
It also gives access to Editing a bill - Edit the existing bill (Editing access only available for upto 5 days in the past)",Admin
"CRM Reports
(Briefing)",Billing,"Top - right Dropdown > CRM
Gives access to all Customer Information which has been entered into the system.

Provides Reports & Graphical presentation of clients frequency, past orders, Most order items, Top categories etc.

Multiple filter options available:
to check clients visiting multiple, or fewer times as per frequency.
Or by high paying, or low paying as per amount.
Or Anniversary, DOB etc",Admin
"Offer Creation 
(Baseline - If Applicable)",Billing,"*At Brand Level: Brand, menu options, next to ""Manage""
Auto Publish - to publish through all deployments
At Cluster level, ""Manage Offer Options"" to activate the Brand Offers for each cluster. Disable For Provision available to disable the offer within the cluster for specific deployments.

*At Deployment Level: Top right dropdown > Offer (Visible only for the respective Outlet)
Create Offer: by entering a name; choosing applicable tabs; type as percent/amount etc; assign privilege level (level 1 - 5; managers get higher level privilege access - user rights)

Criteria: set Min Bill Amount; Min Item Count; Max Discount; and applicability on complete bill/ item wise/ specific item criteria

Validation: set date/time/ specific week days range for applicability; choice of excluding certain days example holidays

Create Codes: used for creating specific offer coupon codes.
Publish to finalize.

Once finalized, All created offers can be reviewed/ edited/ deleted as per operational requirement.


*Offer Coupon Codes: Offers>Settings>Codes - create for Series/ Random/ Customer format; for specific date range; apply prefix(max 5 Alpha numeric codes)
Export import sheets option available for codes",Admin
"Expenses 
(If Applicable)",Billing,"Expenses module gives access to recording general expenses by the cashier; Dropdown > Expenses
Category Master - manage expense categories by adding, editing or deleting (built into categories for reporting purposes)
Eg - Dairy Exp/ General Exp/ Electrical Exp

Vendor Master - manage Vendors or suppliers of general expenses
Eg - petrol Vendor/ Local dairy vendor - chai

Item Master - manage the Actual Item Expenses by associating them with their relevant category. Add/ Edit/ Delete
Tax Master - create, edit or delete taxes as per applicable on expenses by vendors

*Expense Entry: Log Expense entries as per previously set up categories-vendors-taxes.

Expense Report: Review of all expenses as per date filters and customized report types.",Admin
Payment Details Report,Deployment,"Headers - Bill Number, Advance Number, Sync Time, Open Time, Table Number, Tab Type, Covers, Print Time, Close Time, Total Amount, Discount, Net Sales, [Tax 1], [Tax 2], ..., [Tax N], [Charge 1], [Charge 2], ..., [Charge N], Net sales with charges, Net Amt, Round Off, Gross Total, Cash, Credit Card, Debit Card, Other, Coupon, Online, BTC, TTR, Smart Card, Advance, Tip Mode, Tip Amount, Gross Total With Tip, Customer, Customer Mobile, Nationality, Session, GSTIN Number, Loyalty, Source, Order Id, Complimentary, Void, User Name
Description - This report provides bill-wise details including timestamps, table info, customer data, sales figures, payment modes, discounts, taxes, and charges. It's useful for deep-dive audits of billing activity per transaction.",Report
Tax Summary Report,"Deployment, Enterprise","Headers - Date, No Of Bills, Amount, Discount, Net Amount, [Tax 1], [Tax 2], ..., [Tax N], [Charge 1], [Charge 2], ..., [Charge N], Net Amount With Charges, Gross Amount, Round Off, Gross Total, Cash, Credit Card, Debit Card, Other, Coupon, Online, BTC, TTR, Smart Card, Advance
Description - Summarizes tax amounts collected across multiple bills for each day. Includes discounts, net sales, and tax bifurcations, making it ideal for tax reporting, GST filing, and finance reconciliations.",Report
CRM Report(Customer Data Report),"Deployment, Enterprise","Headers - Serial Number, Outlet, Bill Number, Bill Date, Channel, Customer Name, Customer Mobile Number, Phone Number, Email, Address, Landmark, Postal Code, City, Item Category, Item Name, Item Quantity, Item Price, Item Subtotal, Discount, Net Sales, [Tax 1], [Tax 2], ..., [Tax N], Total Tax, Gross Sales, Source, Mode (Inbound / Outbound), User
Description - Captures customer details along with itemized sales data like item name, quantity, subtotal, tax, and source. Helps in understanding customer behavior, item-level performance, and channel distribution.",Report
Bill Item Detail Report,Deployment,"Headers - State, Deployment, Bill Number, Order Id, Day Serial, Date, Tab, Table Number, Open Time, Close Time, Is Combo, Category Name, Item Name, Item Number, Item Section, Rate, Quantity, Constituent Quantity, Amount, Discount, Discount Type, Discount Remarks, [Tax 1], [Tax 2], ..., [Tax N], [Charge 1], [Charge 2], ..., [Charge N], Net Amount, Source
Description - Displays each item sold, including combo constituents if enabled, with associated discounts, taxes, and charges. Useful for inventory, pricing strategy, and combo offer analysis.",Report
Shifts Report,Deployment,"Headers - Opening Time, Opening Username, Opening Instance, POS Opening Cash, Entered Opening Cash, Opening Cash Variance, Opening Reason, Entered Opening Card,
Closing Time, Closing Username, Closing Instance, POS Closing Cash, Entered Closing Cash, Closing Cash Variance, Closing Reason, POS Closing Card, Entered Closing Card, Card Variance, Card Variance Reason,
Total, Cash, Credit Card, Debit Card, Online, Other, Coupon, BTC,
Total Cash In, Total Cash Out, Voucher / Gift Card Sale, Expense Incurred,
Closing Attempts, First Attempt Closing, Z Report
Description - Compares opening and closing cash/card values with user-entered entries, variances, sales split, and expenses. Ideal for cashier validation, shift audits, and Z-report verification.",Report
Day Report,"Deployment, Enterprise","Headers - Opening Date, Opening User, Opening Instance, POS Opening Cash, Entered Opening Cash, Opening Cash Variance, Opening Reason,
Closing Date, Closing User, Closing Instance, POS Closing Cash, Entered Closing Cash, Closing Cash Variance, Closing Reason, Envelope Safe Deposits,
Total, Cash, Credit Card, Debit Card, Online, Other, Coupon, Voucher / Gift Card Sale,
Cash In, Cash Out, Expense Incurred,
Closing Attempts, First Attempt Closing, Unsynced Bills Count
Description - Day-wise aggregation of opening and closing balances, total sales by payment mode, expenses, and unsynced bills. Perfect for management-level reconciliation and tracking financial flow per day.",Report
Outlet Sales Report,Enterprise,"Headers - Outlet Name, Sale, Discount, Net Sales, Charges, Total Net Sales, Tax, Gross Amount, Bills, Employee Meal Bills, Total Bills, Avg Per Bill, Covers, Complimentary Covers, Avg Per Cover
Description - This report summarizes sales, tax, and billing performance across multiple outlets. It includes revenue metrics, discounts, tax, and customer flow indicators such as bill counts and covers.",Report
Daily Sales Report,Enterprise,"Headers - Outlet Name, Date, No Of Items, No Of Bills, Sale, Discount, Charges, Net Sale, Category-wise Sale, Section-wise Sale, CGST, SGST, Other Taxes, Total Tax + Product Level Charges, Net Sales With Charges, Total Amount, Round Off, Gross Amount, Cash, Credit Card, Debit Card, Coupon, Other, Online, BTC, TTR, Advance
Description - This report presents a comprehensive outlet-wise sales summary including item-level, category-wise, and section-wise breakdowns. It also provides detailed bifurcations of taxes, discounts, charges, net and gross sales, and multiple payment mode collections.",Report
Offers Report,Enterprise,"Headers - Outlet Name, Offer Name, Qty, Discount Amount, % of Total, Gross Amount, Net Amount, Discount Amount Last Year, % Total of Last Year, Difference Last Year
Description - This report compares promotional offers across outlets, highlighting the quantity availed, discount values, and their percentage contribution. It also shows historical comparisons with last year’s discounts to evaluate offer performance.",Report
Item Analysis Report,Enterprise,"Headers - Deployment Name, Item, Category Name, Super Category Name, Rate, Item Qty, Combo Constituent Qty, Total Qty, Amount, Discount, Net Amount, Total Tax, Gross Amount, % Contribution
Description - This report provides item-level analysis including rate, quantity (including combo constituents), amount, discount, taxes, and contribution percentage. It helps track performance across deployments and categories.",Report
Daily Sales Breakup Report,Deployment,"""- Cashier can generate a printable report from the """"Thermal Printer/ Cashier Printer"""" (3 inch paper roll printer)

It provides Daily update at the time of print of choice of Sales by:
Categories Sales by Quantity
Collection Breakup - imp: cash/card/btc breakup
Denominations
Item Sales By Quantity
Sales Info - Info of sales being discounts, no. of bills, cancelled bills/kots, amount of cancelled bills, covers etc
Session Sales
Tab Wise Contribution
Tab Wise Sales - breakup of tabs: Dine in/Delivery/ takeaway etc
Table Start - End Bill

Selecting others will cause a lengthier detailed breakup slip.

- User Filter option available to showcase information only specific to the user""",Report
"Unit
(Baseline)",Stock master configuration & validation,"▪ Defining Unit Functionality; can define Conversion factor as per base unit selected
▪ You can add/ edit/ delete units from this module
▪ Import/Export Template also available",Stock
"Category
(Baseline)",Stock master configuration & validation,"""▪ Add, edit, delete super category/ categories for raw materials/semi Processed/ Processed Foods
▪ Import, export, search super category/ category
▪ Bulk upload - Download templates""
- Category Codes don't require to be filled with manual creation(required with bulk uploading)
- One Category cannot be part of more than one Category
- Categories Linked to an item, cannot be deleted",Stock
"Items
(Baseline)",Stock master configuration & validation,"""Used to create, types of Items: Raw Materials/Semi Processed Items/Processed Foods*
▪ Add, edit, delete items Process
▪ Mandatory Fields: Item Name/Category/Base Unit/Selected Units/Preferred Report Unit/Item Type for Base Kitchen/Item Type for Outlet
▪ Import, export, search items
▪ Download Templates
▪ GST Codes Template to update GST on Existing Items""
- Alias name can be used for alternate languages of the items.
- Selected Units: Common Units for Purchase/Recipe use.
- Preferred Units: preferred units for report view (choose any one of 'Selected Units')
- *Item Type(Item Type for Base Kitchen, Item Type for Outlet) - 
1. Purchase Items(Raw Materials, Raw Materials)
2. Semi Processed prepared at base kitchen & has license(Semi-Processed,Raw Material)
3. Semi Processed prepared at outlet(Not Available, Semi-Processed)
4. Processed prepared at base kitchen(Processed Food, Raw Material)
- Items Linked to a Recipe, cannot be deleted.
",Stock
"Recipes
(Baseline)","Used to create Semi-Processed Foods & Processed Foods
▪ Create, Edit, Delete Recipe
▪ Search Recipe
▪ Import Recipe Options - Template Format (Stock master configuration & validation)","- Recipes decimals limited to 2 decimal places(for reporting)
- Transaction entries deduct recipe values from existing stock to showcase Consumption Reports.
- If using Recipe Template Format(Should not have gaps between individual recipes)
- Templates should have Semi Processed on Top, before Processed Foods(if uploading them together)",Stock
"Brand Item
(Baseline)","Used to Configure portions, Create Recipes and Map Items to the Brand Billing Page
▪ Configure Portions for each Outlet Format(Tab), with Import-Export Configuration Option
▪ Create Recipes for the Outlet Billing Item, with Import-Export Recipe Option
▪ Map Item->Taxes (Stock master configuration & validation)","- Storage Item checkbox in 'Configure' is for catering Purpose
- Recipes for Brand Item are set to create 1 Portion of Outlet Billing Item
- Addition feature of adding ingredient Items to Base Recipe(or other table/takeout/delivery options)",Stock
Enterprise Integrations,"Aggregators, Syncing and Out of Stock","""- cluster level push to sync to entp integration
- Images to be uploaded at brand level:
400x400 - 1600x1600 / 5mb/ jpg / png
zomato - jpg or png file / swiggy - png file

- Entp integration menu mapping takes place at the Cluster level
- suggest to clients: single tab to be used for swiggy/zomato/ all integrations
- Automatic fetch as cluster level is synced

functions: 
1.sequencing
2. activate/deactivate
3. show items
4. scheduling option not available(FR raised)
5. item complete description on click
6. addons with sequencing and active/inactive status


Offers: works for zomato/ doesn't work for swiggy(currently)
- offers can be customized for required deployment as per requirement
- discount: fixed/percentage/flatrate & bogo

Bogo offers can only be applied on base items: not variants/not combo/not addons.
And Bogo offers are required to be added to zomato dashboard first
Sync can be done from offer sync button


Packaging charges & Delivery Charges:
- Item packaging charges
-Packaging or delivery dropdown can be selected
- GST applicable on charges
-map aggregators, swiggy/zomato


Modifier views:
-for addons - mark inactive/active for all addons across the menu

Settings:Create Snapshot - 
Creates a snapshot of all settings, which can be imported into other clusters.
Copy and Paste
- Menu Configuration
- Offers
- Charges

Syncing: Sync can be done for all clusters or for individual
- Choose Deployments>Aggregators>Tab

Out of Stock:
Mark Zomato out of Stock First, before Swiggy
For Zomato: 
Administration> Menu Management> Items>
Mark of Stock from """"Stock Control""""
Mark for the relevant Deployment
(immediate syncing)

For Swiggy: 
Right click on Item from """"Delivery Tab"""" 
(takes 5 - 6 minutes to sync)""",Integrations
Prepaid Card Reports,Deployment,"- Used for Food Court Module Integration with Prepaid Cards - Card Consumption Report, Card Listing, Card Sales, Auto Settle",Reports
Combo Report,Deployment,- Review Combowise Sales as a total of the combo including its constituent mapped items.,Reports
Item Wise Contribution Report,Deployment,"""- Generates consolidated Sale Value - which can be sorted By Net Amount/ By Quantity

Can be used to Track which is the Leading items within the Outlet (net amt/ Qty)

Options to Sort in Ascending/ Descending, include addons/ combos/ complimentary.
Option available to Export to Excel


(If recipe of item is created under stock - Cost Incurred + Margin Profit is also a feature of this report""",Reports
Item By Source Report,Deployment,"""- Can review sales of item by Source OR Channels: Sales Channels & Sub Sales Channels

Sales Channel refers to the Tab/ Format: Dine In/ Takeaway etc
Sub Sales Channels refers to whether it's In-Store/ Zomato/ Swiggy, other distributors

- Displays Item, Category, Qty, Rate, Sales and Discount if any.

- Can be exported and filtered for more analysis""",Reports
User Attendance Report,Deployment,"""- used to generate attendance reports of employees, once the biometric device has been integrated.
Tracks punch in & punch out to calculate total hours.""",Reports
Growth Report,Deployment,"""- Can review and compare chosen week with last week and showcases growth %, Positive or negative
- Showcases: No of Bills, Net Sales, COGS, Wastage, Total profit etc (Billing + Stock)""",Reports
Entry Report,Stock Reports,"▪ Entry Report: Generate detailed entry wise reports for: Stock entry/ Stock Sale/ Physical Stock/ Wastage/ Stock Transfer etc
Bifurcations available for Store, Super Category, Category, Vendor
▪ Consolidated Entry Report: generate consolidated report in a summary format for the same transactions as above.

Reports can be extracted to Excel/CSV etc
",Stock
Payment Report,Stock Reports,"▪ Can generate reports of all payments to vendors within a defined date range
Quick reference to check Paid/Due Amount against Invoice No.
Biforcations available for Entry Type, Vendors",Stock
Booking Journal,Stock Reports,▪ Booking Journal Report: review a complete journal of all entries for one specific item,Stock
Vendor Pricing Report,Stock Reports,▪ Summary of Vendor Pricing of specific items for review,Stock
Indent Report,Stock Reports,"▪ Indent Report: generate reports for supplied/received entries
Bifurcations available for Date filter, Super Category, Category, Items, Direct Dispatch, Deleted Indents, Status
▪ Internal Indent Report: generate reports for Internal Kitchen/Stores, main or others.
",Stock
Consolidated Indent Report,Stock Reports,"▪ Consolidated Indent Report: generate consolidated summary of indent report as per Super Category> Category>Raw Materials
▪ Consolidated Internal Indent Report: generate consolidated summary of internal indent report as per Super Category> Category>Raw Materials",Stock
Stock Return,Stock Reports,"▪ Indent Stock Report:generate and review a summary of all Stock Return transactions
▪ Internal Indent Stock Report: generate and review a summary of all Stock Return transactions(within the outlet - kitchen to store)
▪ Stock Sale Return Report: to review summary of returns of sale of stock from 3rd parties
▪ Stock Entry Return Report: to review summary of returns of stock entries.",Stock
Suspense Report,Stock Reports,▪ Generate and review suspicious entries: rejected/resolved/not accepted or rejected from supplier/receiver point of view.,Stock
Bulk Return Report,Stock Reports,▪ review any returns from Bulk entry reports,Stock
Purchase Detail Report,Stock Reports,▪ Generate detailed reports to compare/analyze Raw materials purchased from different vendors,Stock
"Purchase Summary Report
(Brief - If applicable)",Stock Reports,"▪ Item Wise: Review item wise reports as a whole
▪ Vendor Wise: review vendor wise reports as a whole (useful for accounts departments)
▪ Consolidated: review total consolidated value as per vendor.",Stock
Purchase Order Report,Stock Reports,"▪ generate and review all PO's created
Gives details of Vendors>PO number>Status>items/units/rates etc",Stock
Sales Order Report,Stock Reports,▪ generate and review all Sales Orders(third party) created,Stock
Sales order Delivery Challan Report,Stock Reports,▪ generate Sales Order Delivery Challans Created as per Item Wise/Customer Wise/Pending,Stock
Production by Source Report,Stock Reports,▪ review production - raw materials to semi processed/ raw to finished/ semi processed to finished etc,Stock
Purchase Requisition Report,Stock Reports,▪ generate and review all PR's created,Stock
"Consumption Report
(Baseline)",Stock Reports,"▪ To analyse the entire data: Calculate consumption of resources basis recipes and entries made
Stages: Opening|Purchase|Consumption|Wastage|Reuse|Return|Closing|Physical Gain/Loss",Stock
"Variance Report
(Baseline)",Stock Reports,"▪ To analyse the entire data: Calculate variances between existing stock and physically verified stock
Stages: Opening|Purchase|Consumption|Wastage|Reuse|Return|Closing|Physical Gain/Loss|Physical Stock - Variance",Stock
"Issue Report
(Baseline)",Stock Reports,"▪ To review items issued within the organization to cost center: Internal Indent + Stock Transfers (Combined 2 reports)
2 types:
Issue Report(internal)
Indent Issue Report(regular)
Avg Price/Last Price/Default Cost Versions",Stock
"Food Cost Report
(Baseline)",Stock Reports,▪ To calculate Food Cost ,Stock
"Closing Stock Report
(Baseline)",Stock Reports,"▪ To review current stock as per Avg Price/Last Price/Default Cost Versions
Review Current stock of Kitchen, Main Store, Other Stores and in Total
Special functionality: Can export this report to excel without items at '0' Quantity",Stock
Finished Food Report,Stock Reports,"▪ Only for Base Kitchen: review finished foods report within the base kitchen
Stages: Opening|Purchase|Consumption|Wastage|Reuse|Return|Closing|Physical Gain/Loss",Stock
Intermediate(Semi),Stock Reports,"▪ Depending on Setup, can be at Base Kitchen/Outlet level for semi finished recipes: review semi processed foods report within the base kitchen
Stages: Opening|Purchase|Consumption|Wastage|Reuse|Return|Closing|Physical Gain/Loss",Stock
RR Report,Stock Reports,"RR Listing Report: Purchase Report Showcasing only Net Amount (without taxes and discounts)
RR Register Report: Purchase Report Showcasing with taxes and Discounts",Stock
Entry Sync Report,Stock Reports,"▪ Generate this report to review transaction details: Number/ date-time/ sync time/ user/ History(summary) & Invoice PDF Preview

This is useful to consolidate and check syncing with user and entry time.",Stock
"Entries
(Baseline)",Stock Operations,"▪ Opening Stock: make entries of all Opening Stock in hand only once before stock goes live; For respective: Stores/Kitchens etc
Download Template, can be imported.
▪ Stock Entry(Direct Entry w/o Purchase Order): input entry details and submit entries
▪ Stock Sale(Sale to 3rd party/Receivers):input entry details relating to sale of existing stock
▪ Physical Stock(Closing Stock):  For respective: Stores/Kitchens etc
▪ Wastage Entries: input any occurrences of wastages/loss of stock (RM/SP/PF)
▪ Stock Transfer: input direct entries, between store-kitchen
▪ Processed Food(only for Base Kitchen): input direct entries of Processed Foods at the Base Kitchen
▪ Semi Processed Food Entry(for kitchens):input direct entries of Semi Processed Foods at the any Kitchen
▪ Templates: Option to delete any created templates

Templates can be made to save regular types of Entries(to save frequenquent entry types)",Stock
"Edit Entries
(Baseline)",Stock Operations,"Editing option is available for correction for any errors made. Entries can only be edited 5 days prior to the current date.
▪ Edit, View Entry Logs or View Invoice(if present).
",Stock
